,ZIP,State,City,CountyName,12/31/2015,12/31/2019,4/30/2022
25628,96037,CA,Etna,Siskiyou County,197184.0,221820.0,281845.0
25629,95930,CA,Clipper Mills,Butte County,155058.0,220789.0,272354.0
25633,95233,CA,Murphys,Calaveras County,263832.0,331079.0,471896.0
25645,95675,CA,River Pines,Amador County,124042.0,143621.0,218048.0
25679,96124,CA,Calpine,Sierra County,257067.0,279220.0,375078.0
25696,94929,CA,Dillon Beach,Marin County,892007.0,1025306.0,1487168.0
25787,95913,CA,Willows,Glenn County,,,368592.0
25843,95232,CA,Glencoe,Calaveras County,,251208.0,362101.0
25859,93224,CA,Fellows,Kern County,109089.0,121523.0,171238.0
25878,95140,CA,East Foothills,Santa Clara County,1215726.0,1478612.0,2061547.0
26000,93645,CA,O Neals,Madera County,,345767.0,504350.0
26030,95443,CA,Lucerne,Lake County,172057.0,220574.0,294982.0
26044,92066,CA,Ranchita,San Diego County,262036.0,317841.0,454485.0
26056,96015,CA,Canby,Modoc County,115731.0,133587.0,156377.0
26057,95601,CA,Amador City,Amador County,321533.0,374476.0,491282.0
26078,96086,CA,Seiad Valley,Siskiyou County,172454.0,195672.0,239130.0
26089,95637,CA,Guinda,Yolo County,,,704700.0
26109,96054,CA,Lookout,Modoc County,134409.0,164668.0,211747.0
26119,96117,CA,Litchfield,Lassen County,200989.0,213237.0,275247.0
26194,95639,CA,Clarksburg,Yolo County,,,438153.0
26197,93669,CA,North Fork,Madera County,209905.0,261853.0,375598.0
26220,93549,CA,Olancha,Inyo County,,,183056.0
26238,95974,CA,Richvale,Butte County,,,440748.0
26319,95717,CA,Gold Run,Placer County,,,463059.0
26347,95978,CA,Stirling City,Butte County,91634.0,165588.0,202950.0
26370,95511,CA,Alderpoint,Humboldt County,,,298829.0
26389,93226,CA,Glennville,Kern County,,,277621.0
26415,95934,CA,Greenville,Plumas County,,194921.0,249643.0
26438,96126,CA,Sierraville,Sierra County,278950.0,335177.0,444368.0
26579,95920,CA,Butte City,Glenn County,,,500944.0
26593,93628,CA,Hume,Fresno County,179590.0,217053.0,331277.0
26613,95607,CA,Capay,Yolo County,,,906334.0
26636,95925,CA,Forbestown,Butte County,202655.0,263607.0,339142.0
26697,95412,CA,Annapolis,Sonoma County,751947.0,878349.0,955486.0
26743,95837,CA,Nicolaus,Sutter County,633100.0,729528.0,926390.0
26748,95939,CA,Elk Creek,Glenn County,,,379823.0
26770,95950,CA,Grimes,Colusa County,,195613.0,274077.0
26848,95698,CA,Woodland,Yolo County,,,953137.0
26878,91948,CA,Mount Laguna,San Diego County,,,310832.0
26903,95923,CA,Canyon Dam,Plumas County,,267283.0,379109.0
26925,93954,CA,San Lucas,Monterey County,,,456228.0
26938,94940,CA,Marshall,Marin County,,,1400096.0
26996,96071,CA,Old Station,Shasta County,,177809.0,267160.0
27013,96129,CA,Beckwourth,Plumas County,254376.0,247743.0,331974.0
27032,95493,CA,Upper Lake,Lake County,,,513749.0
27043,93634,CA,Lakeshore,Fresno County,217435.0,283284.0,388447.0
27075,95735,CA,Twin Bridges,El Dorado County,244988.0,274672.0,424556.0
