,zip,city,county,12/31/2015,12/31/2019
846,95448,Healdsburg,Sonoma,787423.0,881126.0
847,91914,Chula Vista,San Diego,629434.0,712937.0
848,93111,Santa Barbara,Santa Barbara,923483.0,1000476.0
849,94618,Oakland,Alameda,1411759.0,1687603.0
850,92587,Sun City,Riverside,339454.0,417003.0
851,92582,San Jacinto,Riverside,254527.0,332699.0
852,95816,Sacramento,Sacramento,489551.0,613637.0
853,93930,King City,Monterey,268382.0,341262.0
854,95334,Livingston,Merced,211343.0,274500.0
855,94702,Berkeley,Alameda,836613.0,1048607.0
856,93110,Santa Barbara,Santa Barbara,1103601.0,1187148.0
857,90701,Artesia,Los Angeles,472432.0,569302.0
858,90245,El Segundo,Los Angeles,1089425.0,1364899.0
859,90670,Santa Fe Springs,Los Angeles,421819.0,516130.0
860,93013,Carpinteria,Santa Barbara,849637.0,954007.0
861,95673,Rio Linda,Sacramento,231275.0,323730.0
862,94301,Palo Alto,Santa Clara,3860828.0,4023741.0
863,93728,Fresno,Fresno,143953.0,198877.0
864,93402,Los Osos,San Luis Obispo,510492.0,615659.0
865,94556,Moraga,Contra Costa,429532.0,1357790.0
866,94305,Stanford,Santa Clara,3003425.0,3236166.0
867,93241,Lamont,Kern,113396.0,150845.0
868,92610,Foothill Ranch,Orange,691784.0,775089.0
869,93631,Kingsburg,Fresno,250137.0,300496.0
870,92845,Garden Grove,Orange,605135.0,710247.0
871,95252,Valley Springs,Calaveras,274188.0,514941.0
872,96022,Cottonwood,Shasta,233928.0,299044.0
873,93250,Mc Farland,Kern,168009.0,199602.0
874,93648,Parlier,Fresno,152254.0,203345.0
875,92637,Laguna Hills,Orange,324304.0,413610.0
876,96021,Corning,Tehama,197464.0,245249.0
877,94960,San Anselmo,Marin,1079215.0,1244852.0
878,91208,Glendale,Los Angeles,881515.0,1071126.0
879,94612,Oakland,Alameda,551993.0,694077.0
880,95422,Clearlake,Lake,109921.0,173934.0
881,90623,La Palma,Orange,667395.0,774452.0
882,92866,Orange,Orange,619303.0,710676.0
883,93950,Pacific Grove,Monterey,857030.0,986669.0
884,95963,Orland,Glenn,238186.0,282366.0
885,95203,Stockton,San Joaquin,162824.0,249831.0
886,91203,Glendale,Los Angeles,484214.0,615418.0
887,95066,Scotts Valley,Santa Cruz,839269.0,990232.0
888,92274,Thermal,Riverside,109421.0,152120.0
889,91436,Encino,Los Angeles,1547466.0,1796038.0
890,94507,Alamo,Contra Costa,1641545.0,1886913.0
891,90305,Inglewood,Los Angeles,441275.0,626681.0
892,94552,Castro Valley,Alameda,924245.0,1082242.0
893,95437,Fort Bragg,Mendocino,381780.0,414703.0
894,95650,Loomis,Placer,500905.0,630820.0
895,90232,Culver City,Los Angeles,1071578.0,1408228.0
896,94502,Alameda,Alameda,857827.0,1029883.0
897,94542,Hayward,Alameda,756051.0,921830.0
898,95130,San Jose,Santa Clara,1228333.0,1444004.0
899,94041,Mountain View,Santa Clara,1726399.0,2071554.0
900,95315,Delhi,Merced,197832.0,270819.0
901,95605,West Sacramento,Yolo,217754.0,300406.0
902,93543,Littlerock,Los Angeles,213463.0,298442.0
903,90716,Hawaiian Gardens,Los Angeles,323883.0,436111.0
904,95304,Tracy,San Joaquin,555030.0,680089.0
905,95540,Fortuna,Humboldt,276553.0,321828.0
906,94805,Richmond,Contra Costa,429532.0,514941.0
907,93514,Bishop,Inyo,361423.0,422425.0
908,94108,San Francisco,San Francisco,1234349.0,1202944.0
909,93221,Exeter,Tulare,202853.0,243218.0
910,95388,Winton,Merced,151333.0,224586.0
911,95368,Salida,Stanislaus,267713.0,359387.0
912,91377,Oak Park,Ventura,734349.0,847004.0
913,93505,California City,Kern,108818.0,169583.0
914,95817,Sacramento,Sacramento,272327.0,396868.0
915,94517,Clayton,Contra Costa,429532.0,514941.0
916,92408,San Bernardino,San Bernardino,223136.0,299568.0
917,92014,Del Mar,San Diego,1627462.0,1917881.0
918,93433,Grover Beach,San Luis Obispo,467971.0,536879.0
919,94705,Berkeley,Alameda,1593875.0,1863501.0
920,95030,Los Gatos,Santa Clara,2593767.0,2843010.0
921,91108,San Marino,Los Angeles,1215343.0,2255735.0
922,90212,Beverly Hills,Los Angeles,1864463.0,2453112.0
923,95360,Newman,Stanislaus,228266.0,317053.0
924,94904,Greenbrae,Marin,1745187.0,1915871.0
925,95490,Willits,Mendocino,286454.0,299981.0
926,93204,Avenal,Kings,111454.0,140465.0
927,93640,Mendota,Fresno,145928.0,212606.0
928,93923,Carmel,Monterey,1505658.0,1708948.0
929,95320,Escalon,San Joaquin,327578.0,419826.0
930,92075,Solana Beach,San Diego,1250382.0,1518252.0
931,94920,Belvedere Tiburon,Marin,2819748.0,2785632.0
932,90293,Playa Del Rey,Los Angeles,718980.0,889063.0
933,91105,Pasadena,Los Angeles,1100411.0,1285279.0
934,90013,Los Angeles,Los Angeles,510025.0,619003.0
935,92313,Grand Terrace,San Bernardino,316856.0,384692.0
936,95742,Rancho Cordova,Sacramento,375404.0,470412.0
937,94065,Redwood City,San Mateo,1391828.0,1619141.0
938,93908,Salinas,Monterey,741909.0,844491.0
939,92625,Corona Del Mar,Orange,2531237.0,2853187.0
940,95954,Magalia,Butte,181484.0,255244.0
941,90040,Los Angeles,Los Angeles,370235.0,469591.0
942,93301,Bakersfield,Kern,175323.0,205987.0
943,95832,Sacramento,Sacramento,211422.0,292586.0
944,93614,Coarsegold,Madera,243378.0,311293.0
945,94709,Berkeley,Alameda,1028183.0,1289733.0
946,95948,Gridley,Butte,182721.0,270134.0
947,95814,Sacramento,Sacramento,453188.0,556613.0
948,90402,Santa Monica,Los Angeles,3722104.0,4097723.0
949,94707,Berkeley,Alameda,1356609.0,1625984.0
950,95357,Modesto,Stanislaus,278803.0,360199.0
951,92055,Camp Pendleton,San Diego,429532.0,514941.0
952,93646,Orange Cove,Fresno,152279.0,191707.0
953,90248,Gardena,Los Angeles,468634.0,599685.0
954,95451,Kelseyville,Lake,235243.0,289243.0
955,95640,Ione,Amador,285902.0,343427.0
956,92007,Cardiff By The Sea,San Diego,1086700.0,1424365.0
957,93647,Orosi,Tulare,149324.0,192609.0
958,94965,Sausalito,Marin,1301411.0,1323265.0
959,94708,Berkeley,Alameda,1314154.0,1552713.0
960,92314,Big Bear City,San Bernardino,221590.0,276208.0
961,95453,Lakeport,Lake,228405.0,276204.0
962,91207,Glendale,Los Angeles,954198.0,1149758.0
963,95073,Soquel,Santa Cruz,849279.0,992799.0
964,95425,Cloverdale,Sonoma,459442.0,557434.0
965,91024,Sierra Madre,Los Angeles,900640.0,1052588.0
966,95953,Live Oak,Sutter,197303.0,271364.0
967,93442,Morro Bay,San Luis Obispo,597451.0,692143.0
968,94105,San Francisco,San Francisco,1404503.0,1366164.0
969,95338,Mariposa,Mariposa,270654.0,308398.0
970,95012,Castroville,Monterey,382631.0,506193.0
971,93109,Santa Barbara,Santa Barbara,1245360.0,1402824.0
972,93223,Farmersville,Tulare,144748.0,183202.0
973,91502,Burbank,Los Angeles,508772.0,625119.0
974,92567,Nuevo,Riverside,289704.0,364990.0
975,94571,Rio Vista,Solano,320203.0,392758.0
976,95386,Waterford,Stanislaus,221885.0,291592.0
977,91978,Spring Valley,San Diego,435433.0,541015.0
978,95694,Winters,Yolo,374520.0,461637.0
979,95064,Santa Cruz,Santa Cruz,636724.0,723501.0
980,95713,Colfax,Placer,322144.0,401729.0
981,93108,Santa Barbara,Santa Barbara,3170704.0,3129861.0
982,94572,Rodeo,Contra Costa,429532.0,514941.0
983,95322,Gustine,Merced,210314.0,300894.0
984,93622,Firebaugh,Fresno,165175.0,204156.0
985,93219,Earlimart,Tulare,131914.0,162460.0
986,96019,Shasta Lake,Shasta,429532.0,223793.0
987,93701,Fresno,Fresno,107299.0,162010.0
988,95326,Hughson,Stanislaus,316194.0,391112.0
989,95119,San Jose,Santa Clara,844256.0,1009285.0
990,93286,Woodlake,Tulare,156786.0,202439.0
991,92310,Fort Irwin,San Bernardino,429532.0,514941.0
992,94925,Corte Madera,Marin,1328854.0,1477153.0
993,90094,Los Angeles,Los Angeles,916644.0,1133058.0
994,92657,Newport Coast,Orange,2802916.0,2998732.0
995,92254,Mecca,Riverside,129835.0,181368.0
996,96097,Yreka,Siskiyou,175863.0,193364.0
997,95006,Boulder Creek,Santa Cruz,546387.0,630314.0
998,93546,Mammoth Lakes,Mono,432021.0,511207.0
999,95033,Los Gatos,Santa Clara,1120140.0,1239143.0
1000,92252,Joshua Tree,San Bernardino,151976.0,249767.0
1001,93465,Templeton,San Luis Obispo,576599.0,661647.0
1002,93926,Gonzales,Monterey,334438.0,432242.0
1003,92359,Mentone,San Bernardino,266877.0,342802.0
1004,93644,Oakhurst,Madera,248820.0,310451.0
1005,95946,Penn Valley,Nevada,346594.0,405930.0
1006,94931,Cotati,Sonoma,486948.0,583100.0
1007,93620,Dos Palos,Merced,164542.0,238177.0
1008,95010,Capitola,Santa Cruz,739319.0,919683.0
1009,94574,Saint Helena,Napa,1247963.0,1512426.0
1010,92320,Calimesa,Riverside,299262.0,375616.0
1011,94930,Fairfax,Marin,854945.0,957373.0
1012,90014,Los Angeles,Los Angeles,451859.0,498992.0
1013,92250,Holtville,Imperial,157855.0,191548.0
1014,91020,Montrose,Los Angeles,629583.0,763257.0
1015,91935,Jamul,San Diego,595321.0,683672.0
1016,95065,Santa Cruz,Santa Cruz,813241.0,961501.0
1017,95726,Pollock Pines,El Dorado,253149.0,308400.0
1018,92655,Midway City,Orange,551332.0,675972.0
1019,90077,Los Angeles,Los Angeles,2528698.0,2692780.0
1020,95324,Hilmar,Merced,247348.0,312751.0
1021,95988,Willows,Glenn,184771.0,218641.0
1022,93449,Pismo Beach,San Luis Obispo,847950.0,915258.0
1023,93625,Fowler,Fresno,234117.0,289388.0
1024,90211,Beverly Hills,Los Angeles,1324611.0,2098204.0
1025,92325,Crestline,San Bernardino,188160.0,244552.0
1026,95327,Jamestown,Tuolumne,429532.0,514941.0
1027,93463,Solvang,Santa Barbara,783852.0,862675.0
1028,94710,Berkeley,Alameda,793205.0,1015349.0
1029,92249,Heber,Imperial,202861.0,250311.0
1030,92548,Homeland,Riverside,225060.0,304592.0
1031,92067,Rancho Santa Fe,San Diego,2667661.0,2770944.0
1032,92241,Desert Hot Springs,Riverside,178890.0,261678.0
1033,95005,Ben Lomond,Santa Cruz,635273.0,761597.0
1034,93721,Fresno,Fresno,86722.0,125952.0
1035,90056,Los Angeles,Los Angeles,928476.0,1324480.0
1036,93510,Acton,Los Angeles,528187.0,619478.0
1037,95932,Colusa,Colusa,222951.0,256079.0
1038,95220,Acampo,San Joaquin,438774.0,559564.0
1039,92233,Calipatria,Imperial,110655.0,142867.0
1040,94515,Calistoga,Napa,738750.0,883928.0
1041,93434,Guadalupe,Santa Barbara,288915.0,370320.0
1042,94027,Atherton,San Mateo,6337562.0,6698018.0
1043,95019,Freedom,Santa Cruz,422057.0,550907.0
1044,95139,San Jose,Santa Clara,760263.0,944269.0
1045,93234,Huron,Fresno,130600.0,161105.0
1046,93022,Oak View,Ventura,531316.0,608941.0
1047,94028,Portola Valley,San Mateo,3468427.0,3896024.0
1048,90401,Santa Monica,Los Angeles,1177161.0,1356685.0
1049,93445,Oceano,San Luis Obispo,401739.0,474772.0
1050,95642,Jackson,Amador,293042.0,343099.0
1051,96067,Mount Shasta,Siskiyou,289975.0,331310.0
1052,95693,Wilton,Sacramento,571061.0,691546.0
1053,95316,Denair,Stanislaus,312442.0,393969.0
