"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"410800","59311","1400000US06005000301","Census Tract 3.01, Amador County, California"
"318100","21949","1400000US06005000303","Census Tract 3.03, Amador County, California"
"286000","26372","1400000US06005000304","Census Tract 3.04, Amador County, California"
"313600","31609","1400000US06005000401","Census Tract 4.01, Amador County, California"
"321500","27501","1400000US06005000402","Census Tract 4.02, Amador County, California"
"322800","24736","1400000US06005000500","Census Tract 5, Amador County, California"
"268700","16687","1400000US06007000102","Census Tract 1.02, Butte County, California"
"337800","20643","1400000US06007000103","Census Tract 1.03, Butte County, California"
"323000","19648","1400000US06007000104","Census Tract 1.04, Butte County, California"
"290100","33373","1400000US06007000201","Census Tract 2.01, Butte County, California"
"214200","22259","1400000US06007000202","Census Tract 2.02, Butte County, California"
"262900","35160","1400000US06007000300","Census Tract 3, Butte County, California"
"432900","32498","1400000US06007000401","Census Tract 4.01, Butte County, California"
"366800","24072","1400000US06007000402","Census Tract 4.02, Butte County, California"
"418200","26964","1400000US06007000501","Census Tract 5.01, Butte County, California"
"279700","34246","1400000US06007000502","Census Tract 5.02, Butte County, California"
"333000","18627","1400000US06007000601","Census Tract 6.01, Butte County, California"
"364400","28862","1400000US06007000603","Census Tract 6.03, Butte County, California"
"341000","29216","1400000US06007000604","Census Tract 6.04, Butte County, California"
"288300","36750","1400000US06007000700","Census Tract 7, Butte County, California"
"366700","25794","1400000US06007000800","Census Tract 8, Butte County, California"
"398300","29864","1400000US06007000901","Census Tract 9.01, Butte County, California"
"276900","9865","1400000US06007000903","Census Tract 9.03, Butte County, California"
"396100","44503","1400000US06007000904","Census Tract 9.04, Butte County, California"
"260100","42296","1400000US06007001000","Census Tract 10, Butte County, California"
"270100","56770","1400000US06007001100","Census Tract 11, Butte County, California"
"283100","37798","1400000US06007001200","Census Tract 12, Butte County, California"
